"album","song","lyric"
"College Dropout","Family Business",". . . . . . How's your son? (all, all, all the things, things). . He make the team this year? (all, all, all the things things). . Aw th-, they said he wasn't tall enough?. . (all, all, all the glitter is not gold). . Yeah me we gon' cook this up (now gold is not a reality). . (real is what you live to be). . This is family business. . And this is for the family that can't be with us. . And this is for my cousin locked down, know the answer's in us. . That's why I spit it in my songs so sweet. . Like a photo of your granny's picture. . Now that you're gone it hit us. . Super hard on Thankgiving and Christmas, this can't be right. . Yeah you heard the track I did man, this can't be life. . Somebody please say grace so I can save face. . And have a reason to cover my face. . I even made you a plate, soul food, know how Granny do it. . Monkey bread on the side, know how the family do it. . When I brought it why had guard have to look all to it?. . As kids we used to laugh. . Who knew that life would move this fast?. . Who knew I'd have to look at you through a glass?. . And look, tell me you ain't did it, you ain't did it. . And if you did, then that's family business. . And I don't care 'bout (all the, all the diamond rings, diamond rings). . They don't mean a thing (all, all, all the things). . All these fancy things. . I tell you that all (all the glitter) my weight in gold. . Now all I know I know all these things. . This is family business. . And this is for everybody standin' with us. . Come on, let's take a family Grammy picture. . Abby, remember when they ain't believe in me?. . Now she like ""See, that's my cousin on TV"". . Now, we gettin' it and we gon' make it. . And y'all gon' hate it and I'm his favorite. . I can't deny it, I'm a straight rider. . But when we get together be electric slidin'. . Grandma, get 'em shook up. . Aw naw, don't open the photo book up. . I got an Aunt Ruth that can't remember your name. . But I bet them Polaroids'll send her down memory lane. . You know that one auntie, you don't wanna be rude. . But every holiday nobody eatin' her food. . And you don't wanna stay there cuz them your worst cousins. . Got roaches at their crib like them your first cousins. . Act like you ain't took a bath with your cousins. . Fit three in the bed while six of y'all. . I'm talkin' 'bout three by the head and three by the leg. . But you ain't have to tell my girl I used to pee in the bed. . Rain, rain, rain go away. . Let the sun come out and all the children say. . Rain, rain, rain go away. . Let the sun come out and all the children say. . I woke up early this mornin' with a new state of mind. . A creative way to rhyme without usin' knives and guns. . Keep your nose out the sky, keep your heart to God. . And keep your face to the risin' sun. . All my niggas from the Chi, that's my family dog. . And my niggas ain't my guys, they my family dog. . I feel like one day you'll understand me dog. . You can still love your man and be manly dog. . You ain't got to get heated at every house warmin'. . Sittin' here, grillin' people like George Foreman. . Why Uncle Ray and Aunt Shiela always performin'?. . The second she storms out then he storms in. . Y'all gon' sit down, have a good time this reunion. . And drink some wine like Communion. . And act like everything fine and if it isn't. . We ain't lettin' everybody in our family business. . (all the, all the diamond rings, diamond rings). . They don't mean a thing (all, all, all the things). . They don't mean a thing. . (all the, all the diamond rings, diamond rings). . They don't mean a thing, a thing. . And I don't care 'bout (all the, all the diamond rings, diamond rings). . They don't mean a thing (all, all, all the things). . All these fancy things. . I tell you that all (all the glitter) my weight in gold. . Now all I know I know all these things (oooh) All these things (these things) All these things (oooh) all these things (these things) All these things (oooh) all these things (these things) All these things (oooh) all these things (these things) All these things (oooh) all these things (these things) All these things (oooh) all these things (these things) All these things (oooh) all these things (these things) All these things (oooh) all these things (these things). "
"College Dropout","Last Call",". . . . . . Yo fuck you, Kanye, first and foremost. . For making me do this shit. Muh'fucker. . Had to throw everybody out the motherfucking room. . 'Cause they don't fucking... . (I'd like to propose a toast). . (I said toast motherfucker). . And I am (here's to the roc). . And they ask me, they ask me, they ask me, I tell them (here's to Rocafella). . Raise your glasses, your glasses, your glasses to the sky (here's to the roc). . This is the last call for alcohol, for the... (here's to Rocafella). . So get your ass up off the wall. . The all around the world Digital Underground, Pac. . The Rudloph the red nosed reindeer of the Roc. . I take my chain, my 15 seconds of fame. . And come back next year with the whole fucking game. . Ain't nobody expect Kanye to end up on top. . They expected that College Dropout to drop and then flop. . Then maybe he stop savin' all the good beats for himself. . Rocafella's only niggaz that help. . My money was thinner than Sean Paul's goatee hair. . Now Jean Paul Gaultier cologne fill the air, here. . They say he bourgie, he big-headed. . Won't you please stop talking about how my dick head is. . Flow infectious, give me 10 seconds. . I'll have a buzz bigger than insects in Texas. . It's funny how wasn't nobody interested. . 'Til the night I almost killed myself in Lexus. . Now was Kanye the most overlooked? Yes sir. . Now is Kanye the most overbooked? Yes sir. . Though the fans want the feeling of A Tribe Called Quest. . But all they got left is this guy called West. . Better take Freeway, throw him on tracks with Mos Def. . Call him Kwa-lI or Kwe-li, I put him on songs with Jay-Z. . I'm the Gap like Banana Republic and Old Navy, and oooh. . It come out sweeter than old Sadie. . Nice as Bun-B when I met him at the Source awards. . Girl he had with him - ass coulda won the horse awards. . And I was almost famous, now everybody loves Kanye. . I'm almost Raymond'. . Some say he arrogant. Can y'all blame him?. . It was straight embarrassing how y'all played him. . Last year shoppin my demo, I was tryin' to shine. . Every motherfucker told me that I couldn't rhyme. . Now I could let these dream killers kill my self-esteem. . Or use my arrogance as the steam to power my dreams. . I use it as my gas, so they say that I'm gassed. . But without it I'd be last, so I ought to laugh. . So I don't listen to the suits behind the desk no more. . You niggaz wear suits 'cause you can't dress no more. . You can't say shit to Kanye West no more. . I rocked 20,000 people, I was just on tour, nigga. . I'm Kan, the Louis Vuitton Don. . Bought my mom a purse, now she Louis Vuitton Mom. . I ain't play the hand I was dealt, I changed my cards. . I prayed to the skies and I changed my stars. . I went to the malls and I balled too hard. . 'Oh my god, is that a Black Card?'. . I turned around and replied, why yes but I prefer the term. . African American Express. . Brains, power, and muscle, like Dame, Puffy, and Russell. . Your boy back on his hustle, you know what I've been up to. . Killin y'all niggaz on that lyrical shit. . Mayonnaise colored Benz, I push Miracle Whips. . ""... last call for alcohol, for my niggaz"". . So this A&R over at Rocafella, named Hiphop. . picked the Truth beat for Beanie. And I was in the session with him. . I had my demo with me. You know, like I always do. . I play the songs, he's like ""Who that spittin?"". . I'm like ""It's me."" He's like ""Oh, well okay."". . Uhh, he started talkin to me on the phone. . going back and forth, just askin me to send him beats. . And I'm thinking he's trying to get into managing producers. . cause he had this other kid named Just Blaze he was messin with. . And um, he was friends with my mentor, No ID. . And No ID told him, ""look man, you wanna mess with Kanye. . you need to tell him that you like the way he rap"" ""Yo, you wanna sign him, tell him you like how he rap"". . I was all, I dunno if he was gassin' me or not. . but he's like he wanna manage me as a rapper AND a producer ""I'll sign you as a producer and a rapper"",. . I'm like oh shit. . I was messin with, uh, D-Dot also. . People were like this, started talking about the Ghost production. . But that's how I got in the game. If it wasn't for that, I wouldn't be here. . So you know. After they picked that Truth beat. . I was figuring I was gonna do some more work. . But shit just went poppin off like that. I was stayin in Chicago. . I had my own apartment. I be doin' like, just beats for local acts. . just to try to keep the lights on, and then to go out and buy. . get a Pelle Pelle off lay-away, get some Jordans or something. . or get a TechnoMarine, that's what we wore back then. . I made this one beat where I sped up this Hal Melville sample. . I played it for Hip over the phone, he's like ""oh, yo that shit is crazy. . Jay might want it for this compilation album he doin, called The Dynasty."". . And at that time, like the drums really weren't soundin' right to me. . so I went and um, I was listening to Dre Chronic 2001 at that time. . and really I just, like picked the drums off Xxplosive and put it like. . with it sped up, sampled, and now it's kind of like my whole style. . when it started, when he rapped on 'This Can't be Life.'. . And that was like, really the first beat of that kind that was on the Dynasty album. . I could say that was the, the resurgence of this whole sound. . You know, I got to come in and track the beat, and at the time. . I was still with my other management. I really wanted to roll with. . Hiphop. 'Cause I, I just needed some fresh air, you know what I'm. . sayin, 'cause I been there for a while, I appreciated what they did. . for me, but, you know there's a time in every man's life where he. . gotta make a change, try to move up to the next level. And that day I. . came and I tracked the beat and I got to meet Jay-Z and he said, ""oh. . you a real soulful dude"" . And he. . uh, played the song 'cause he already spit his verse by the time I got. . to the studio, you know how he do it, one take. And he said ""check this out, tell me what you think of this, right here"". . ""tell me what you think of this."" And I heard it, and I was thinking. . like, man, I really wanted more like of the simple type Jay-Z, I ain't. . want like the, the more introspective, complicated rhy- or the, in my. . personal opinion. So he asked me, ""what you think of it?"" ""so what you thinkin?"". . And I was like, ""man that shit tite,"". . you know what I'm sayin', man what I'ma tell him? I was on the train. . man, you know. So after that I went back home. And man I'm, I'm just. . in Chicago, I'm trying to do my thing. You know, I got groups. I got. . acts I'm trying to get on, and like there wasn't nothin really like. . poppin' off the way it should have been. One of my homeys that was one. . of my artists, he got signed. But it was supposed to really go through. . my production company, but he ended up going straight with the. . company. So, like I'm just straight holdin' the phone, gettin' the bad. . news that dude was tryin' to leave my company. And I got evicted at. . the same time. So I went down and tracked the beats from him, I took. . that money, came back, packed all my shit up in a U-Haul, maybe about. . ten days before I had to actually get out. So I ain't have to deal. . with the landlord 'cause he's a jerk. Me and my mother drove to ""Come on, let's just go"". . Newark, New Jersey. I hadn't even seen my apartment.. . I remember I pulled up ""Kanye, baby, we're here"",. . I unpacked all my shit. You know, we went to Ikea, I bought a. . bed, I put the bed together myself. I loaded up all my equipment, and. . the first beat I made was, uh, 'Heart of the City.'. . And Beans was still working on his album at that time, so I came up. . there to Baseline, it was Beans' birthday, matter of fact, and I. . played like seven beats. And, you know I could see he's in the zone. . he already had the beats that he wanted, I did nothing like already at. . that time. But then Jay walked in. I remember he had a GuccI bucket. . hat on. I remember it like, like it was yesterday. And Hiphop said. . ""yo play that one beat for him."" And I played 'Heart of the City.' And. . really I made 'Heart of the City,' I really wanted to give that beat to DMX. ""No I think Jay gon' like this one right here"".. . And I played another beat, and I played another beat. And I remember that. . GuccI bucket, he took it and like put it over his face and made one of. . them faces like 'OOOOOOOOOOH.' Two days later I'm in Baseline and I seen. . Dame. Dame didn't know who I was and I was like ""yo what's up I'm Kanye."" ""Yo, you that kid, Kanye?"". . ""You that kid that gave all them beats to Jay?. . Yo, this nigga got classics"" ""Jay got classics, G."". . You know I ain't talkin shit.. . I'm like ""oh shit."" And all this time I'm starstruck, man. I'm. . still thinking 'bout, you know I'm picturing these niggaz on the show. . The Streets is Watching, I'm lookin, these were superstars in my. . eyes. And they still are, you know. So, Jay came in and he spit all. . these songs like in one day, and in two days... I gotta bring up one. . thing, you know, come back to the story, the day I did the 'Can't be. . Life' beat on track, I remember Lenny S, he had some Louis Vuitton. . sneakers on, he think he fly. And Hiphop was there, I think Tata, John. . Minnelli, a bunch of people. I didn't know all these people at the. . time they was in the room, and I said, ""yo Jay I could rap."" And I. . spit this rap that said, uh ""I'm killin y'all niggaz on that lyrical. . shit. Mayonnaise colored Benz, I push miracle whips."" And I saw his. . eyes light up when I said that line. But you know the West, the rap. . was like real wack and shit, so that's all the response.. . He said ""man that was tite."" ""That, that was cool. That was hot."". . That was it. You know, I ain't get no deal then, hehe.. . Okay, fast forward.. . So, Blueprint, H to the Izzo, my first hit single. And I just. . took that proudly, built relationships with people. My relationship. . with KwelI I think was one of the best ones to ever happen to my. . career as a rapper. Because, you know, of course later he allowed me. . to go on tour with him. Man, I appre-- I love him for that. And at. . this time, you know I didn't have a deal, I had songs, and I had. . relationships with all these A&R's, and they wanted beats from me, so. . they'd call me up, I'd play them some beats. ""Gimme a beat that sound. . like Jay-Z."" You know, they dick riders. Whatever. So I'll play them. . these post-Blueprint beats or whatever and then I'll play my shit. I'll. . be like, ""yo but I rap too."" Hey, I guess they was lookin' at me crazy. . 'cause you know, 'cause I ain't have a jersey on or whatever. . Everybody out there listen here. I played them 'Jesus Walks' and they. . didn't sign me. You know what happened, it was some A&R's that fucked. . with me though, but then like the heads, it'd be somebody at the. . company that'll say ""naw."" Like, Dave LottI fucked with me, my. . nigga Mel brought me to a bunch of labels. Jessica Rivera, man ""Man, you niggaz is stupid if y'all don't sign Kanye, for real."". . I'm not gonna say nothin to mess my promotion up. . ""Y'all niggaz is stupid"". Let's just say I didn't get my deal.. . The nigga that was behind me, I mean,. . he wasn't even a nigga, you know?. . The person who actually kicked everything off was Joe 3H from Capitol. . Records. He wanted to sign me really bad. ""We gonna change the game, buddy."". . Dame was like, ""yo you got a deal with Capitol,. . okay man, just make sure it's not wack."" ""you gotta make sure it's not wack."". . Then one day I just went ahead and played it, I wanted to. . play some songs, 'cause you know Cam was in the room, Young Guru, and. . Dame was in the room. So I played... actually it's a song that you'll. . never hear, but maybe I might use it. So, it's called 'Wow.'. . ""I go to Jacob with 25 thou, you go with 25 hundred, wow. . I got eleven plaques on my walls right now. . You got your first gold single, damn, nigga, wow."". . Like the chorus went. Don't bite that chorus, I might still use it. So. . I play that song for him, and he's like ""oh shit"" ""Oh shit it's not even wack."". . ""I ain't gonna front, it's kinda hot."" ""it's actually kinda hot."". . Like they still weren't looking at me. . like a rapper. And I'm sure Dame figured, 'like man. If he do a whole. . album, if his raps is wack at least we can throw Cam on every song and. . save the album, you know. So uh Dame took me into the office, and he's. . like ""yo man, we, we on a brick, we on a brick"" ""you don't wanna catch a brick"". . You gotta be under an umbrella, you'll get rained on.. . I told Hiphop and Hiphop was all, ""oh, word?"" Actually, even with. . that I was still about to take the deal with Capitol 'cause it was. . already on the table and 'cause of my relationship with 3H. That, you. . know, 'cause I told him I was gonna do it, and I'm a man of my word, I. . was gonna roll with what I said I was gonna do. Then, you know, I'm. . not gonna name no names, but people told me, ""oh he's just a producer. . rapper"" and told 3H that told the heads of the Capitol, and right--. . the day I'm talking about, I planned out everything I was gonna do. . man, I had picked out clothes, I already started booking studio. . sessions, I started arranging my album, thinking of marketing schemes. . man I was ready to go. And they had Mel call me, they said. . ""yo... Capitol pulled on the deal"" ""Yo, Capitol pulled out on the deal."". . And, you know I told them that Rocafella was interested. . and I don't know if they thought that was just something I was saying. . to gas them up to try to push the price up or whatever. I went up... I. . called G, I said, ""man, you think we could still get that deal with Rocafella?"". "
"Late Registration","Wake Up Mr. West",". . . . . . I knew I was gonna see ya, I knew I was gonna see you again!. . I was gonna see you again. . Where your god damn book bag at?. . Always carryin' that lil book bag. . Nobody wanna see that. . God damn fourth grader. . Sit yo' ass down. . ?? wanna play it again like he got somethin else to do. . You ain't got nothin' else to do. . You ain't doin nothin wit yo life. . Nothing with your life. . What do you think this is?. . You betta look at me when i'm talkin' to you!. . You think this is easy don't you?. . You think this is promised. . Oh ain't nothin promised with you. . Look at my face, do I got a promise face?. . Does it look like promise you anything?. . Kanye!. . Ni**a! Is you snorin' in my class?. . Wake up Mr. West! Mr. West . "
"Late Registration","Heard 'Em Say",". . . . Wake up Mr. West . . Uh, Yeah, Uh, yeah, uh, yeah, uh, yeah. . And I heard 'em say, nothin ever promised tomorrow today.. . From the Chi, like Tim its the Hard-a-way,. . So this is in the name of love, like Robert says. . Before you ask me to get a job today, can I at least get a raise on a minimum wage?. . And I know the government administered AIDS,. . So I guess we just pray like the minister say,. . Allah o Akbar and throw em some hot cars,. . Things we see on the screen are not ours,. . But these niggas from the hood so these dreams not far,. . Where im from, the dope boys is the rock stars,. . But they can't cop cars without seein' cop cars,. . I guess they want us all behind bars.. . I know it.. . Uh, And I heard 'em say, nothin ever promised tomorrow today.. . (ooooooooo). . And I heard 'em say, nothin ever promised tomorrow today.. . (Nothing's ever promised tomorrow today.). . But we'll find a way. . (And nothing lasts forever but be honest babe, it hurts but it may be the only way). . They say people in your life are seasons,. . And anything that happen is for a reason,. . And niggas guns a clappin and keep to squeezin',. . And Gran (Grandma) keep prayin' and keep believin',. . And Jesus and one day that ya see him,. . Till they walk in his footsteps and try to be him,. . The devil is alive I feel him breathin',. . Claimin' money is the key so keep on dreamin',. . And put them lottery tickets just to tease us,. . My aunt Pam can't put those cigarettes down,. . Now my lil cousin smokin those cigarettes now,. . His job trying to claim that he too niggerish now,. . Is it cuz his skin blacker than licorice now?. . I can't figure it out.... . Im Stickin around..... . Uh, And I heard 'em say, nothin ever promised tomorrow today.. . (ooooooooo). . And I heard 'em say, nothin ever promised tomorrow today.. . (Nothing's ever promised tomorrow today.). . But we'll find a way. . (And nothing lasts forever but be honest babe, it hurts but it may be the only way). . (Cuz every worthless word we get more far away, and nothing's ever promised tomorrow today,. . And nothing lasts forever but be honest babe, it hurts but it may be the only way). "
"Late Registration","Touch The Sky",". . . . . I gotta testify, come up in the spot looking extra fly. For the day I die, I'mma touch the sky. Gotta testify, come up in the spot looking extra fly. For the day I die, I'mma touch the sky. Back when they thought pink polo's would hurt the Roc,. Before Cam got the shit to pop, the doors was closed.. I felt like Bad Boy's street team, I couldn't work the Lox (locks).. Now let's go.. Take 'em back to the plan.... Me and my momma hopped in the U-Haul van.. Any pessimists I ain't talked to them,. Plus, I ain't have no phone in my apartment.. Let's take 'em back to the club.. Least about an hour I would stand on line,. I just wanted to dance.. I went to Jacob an hour after I got my advance.. I just wanted to shine.. Jay's favorite line: ""Dog, in due time"". Now he look at me, like ""Damn, dog, you where I am"". A hip hop legend.. I think I died in an accident, cause this must be heaven.. Now let's take 'em high-igh-igh-igh-igh-igh la la la la la la la. (Top of the world, baby. T-Top of the world). Now let's take 'em high-igh-igh-igh-igh-igh la la la la la la la. (Top of the world, baby. T-Top of the world). Back when Gucci was the shit to rock,. Back when Slick Rick got the shit to pop,. I'd do anything to say ""I got it"".. Damn, them new loafers hurt my pocket.. Before anybody wanted K-West beats,. Me and my girl split the buffet at KFC.. Dog, I was having nervous breakdowns,. Like ""Damn, these niggas that much better than me?"". Baby, I'm going on an airplane,. And I don't know if I'll be back again.. Sure enough, I sent the plane tickets,. But when she came to kick it, things became different.. Any girl I cheated on, sheets I skeeted on.. I couldn't keep it home, I thought I needed a Nia Long.. I'm trying to write my wrongs,. But it's funny these same wrongs helped me write this song.. Now,. I gotta testify, come up in the spot looking extra fly. For the day you die, You gonna touch the sky. (You gonna touch the sky babygirl!) Testify, come up in the spot. Looking extra fly. For the day you die, You gonna touch the sky. Yes, yes, yes guess who's on third?. Lupe steal like Lupin the Third.. Hear like ear till I'm beer on the curb. Peach fuzz buzz but beard on the verge. Slow it down like we're on the syrup. Bottle-shaped body like Mrs. Butterworth's.. But, before you say another word,. I'm back on the block like I'm laying on the street.. I'm trying to stop lion like a Mum-Ra,. But I'm not lying when I'm laying on the beat.. Engarge, touché Lupe cool as the unthawed. But I still feel as possessed as a gun charge.. I come as correct as a porn star,. In a fresh pair of steps and my best foreign car.. So, I represent the first.. Now, let me end my verse right where the horns are like. (We back at home, baby). Sky high. I'm, I'm sky high. I'm, I'm sky high. I'm, I'm sky high. I'm, I'm sky high. I'm, I'm sky high. Sky, Sky high. I'm, I'm sky high. Yeah! (Keep it rolling). (Feels good to be home, baby! Feels good to be home!). "
"Late Registration","Gold Digger",". . . . . She take my money when I'm in need. Yeah she's a trifling friend indeed. Oh she's a gold digger way over town. That digs on me. (She gives me money). Now I ain't sayin' she a gold digger (when I'm in need). But she ain't messin' with no broke niggas. (She gives me money). Now I ain't sayin' she a gold digger (when I'm in need). But she ain't messin' with no broke niggas. Get down girl go head get down (I gotta leave). Get down girl go head get down (I gotta leave). Get down girl go head get down (I gotta leave). Get down girl gone head. Cutie the bomb. Met her at a beauty salon. With a baby Louis Vuitton. Under her underarm. She said I can tell you rock. I can tell by your charm. Far as girls you got a flock. I can tell by your charm and your arm. But I'm looking for the one. Have you seen her?. My psychic told me she have an ass like Serena. Trina, Jennifer Lopez, four kids. And I gotta take all they bad ass to show-biz. OK get your kids but then they got their friends. I pulled up in the Benz, they all got up in. We all went to Den and then I had to pay. If you fucking with this girl then you better be paid. You know why?. It take too much to touch her. From what I heard she got a baby by Busta. My best friend says she use to fuck with Usher. I don't care what none of y'all say I still love her. 18 years, 18 years. She got one of your kids, got you for 18 years. I know somebody paying child support for one of his kids. His baby mamma car and crib is bigger than his. You will see him on TV any given Sunday. Win the Superbowl and drive off in a Hyundai. She was supposed to buy your shorty TYCO with your money. She went to the doctor got lipo with your money. She walking around looking like Michael with your money. Should've got that insured got GEICO for your money, money, money. If you ain't no punk holla we want prenup. WE WANT PRENUP! Yeah. It's something that you need to have. 'Cause when she leave yo ass she gon' leave with half. 18 years, 18 years. And on her 18th birthday he found out it wasn't his. Now I ain't saying you're a gold digger you got needs. You don't want your dude to smoke but he can't buy weed. You go out to eat, he can't pay y'all can't leave. There's dishes in the back, he gotta roll up his sleeves. But why y'all washing watch him. He gone make it into a Benz out of that Datsun. He got that ambition, baby, look in his eyes. This week he mopping floors, next week it's the fries. So, stick by his side. I know this dude's balling but yeah that's nice. And they gone keep calling and trying. But you stay right girl. And when you get on he leave your ass for a white girl. Get down girl go head get down. Get down girl go head get down. Get down girl go head get down. Get down girl go head. (lemme hear that back). "
"Late Registration","Skit #1",". . . . I brought you brothers here to start our own fraternity. . Broke Phi Broke, we ain't got it.. . Broke Phi Broke (we ain't got it). . No, we have no money . . We are sharin' jeans.. . If I go outside, I got the only clothing on.. . How many cars do we own? (None!). . How many cars do we own? (None, sir!). . Should we let our woman go and be with the cat in the car?. . Yes, we will.. . Why? Because we can't afford gas. Say it with me!. . (We can't afford no gas!). . Say it!. . (We can't afford no gas!). . So we ain't drivin'!. "
"Late Registration","Drive Slow",". . . . . . Drive slow homey. . Drive slow homey. . Ya never know homey might meet some hoes homey. . Ya need to pump your brakes and drive slow homey. . My homey Mali used to stay one 79th and May. . One of my best friends from back in the day. . Down the street form Calumet a school full of stones. . He nicknamed me K-Rock so they'd leave me alone. . Bulls jacket with his hat broke way off. . Walk around the mall with his radio face off. . Plus he had the spinner from his Dayton's in his hand. . Keys in his hand reason again to let you know he's the man. . Back when we rocked Alesis he had dreams of Caprice's. . Drove by the teachers even more by police's. . How he get that cash today his father passed away. . Left him with a little something 16 he was stunting. . Al B Sure nigga with the hair all wavy. . Hit lakeshore girls go all crazy. . Hit the freeway go at least bout 80. . Boned so much that summer even had him a baby. . See back back then then if you had a car. . You were the Chi town version of Baby. . And I was just a virgin a baby. . One of the reasons I looked up to him crazy. . I used to love to play my demo tape when the system yanked. . Felt like I was almost signed when the shit got cranked. . We'll take a Saturday and just circle the mall. . They had the Lincoln's and Aurora's we were hurting them all. . With the girls a lot of flirting involved. . But dawg fuck all that flirting I'm trying to get in some draws. . So put me on with these hoes homey's. . He told me don't rush to get grown drive slow homey. . Drive slow homie. . Drive slow.... . Ya never know homey about these hoes homey. . Ya need to pump your breaks and drive slow homey. . What It do. . I'm posted up in the parking lot my trunk wavin'. . The candy gloss is immaculate and is simply amazing. . Them elbows poking wide on that Candy-lac. . Trunk open, screen's on, neon's lit with fifth relax. . I'm on a mission for dime piece's and sexy ladies. . Allow me to introduce you to my CL Mercedes. . It's a star-studded event when I valet park. . Open up my mouth and sunlight illuminates the dark. . You see them 4's crawling, you see them screens falling. . The disco ball in my mouth insinuates I'm balling. . I'm leaning on a switch sitting crooked in my slab. . But I could still catch boopas if I drove a cab. . A young Houston hard hitter all about the scrilla. . Riding some candy coated crawling like a caterpillar. . I'm tipping on those 4's I'm jamming off this screw. . I'm looking for them hoes baby what it do?. . Drive slow homey. . Turn your hazard lights on when you see them hoes. . Drive slow homey. . If you riding around the city with nowhere to go. . Drive slow homey. . Live today cause tomorrow man you never know. . Ya never know homey might meet some hoes homey. . Ya need to pump your brakes and drive slow homey. . My cars like the movies my cars like the crib. . I got more TV's in here then where I live. . And it don't make no sense but baby I'm the shit. . And everything I flip you know is something serious. . I got the custom grill I got the Brabus rims. . I got the baller genetics baby that's evident. . You see a player flicking and you ain't convinced. . That you should go and kiss it just a little bit. . I wear my custom kicks I got my Jesus chain. . My canaries is gleaming though my angle wings. . They see me hoes acting like they seen a king. . With that mean lean smoking on the finest Cali green. . My wood grain oak I'm riding on vogues. . My cylinder quiet like tip toes. . I sold O's and this I know. . When you see them hoes little homey drive slow. . Chopped and Screwed. . Yeah... . Drive slow homey. . Drive slow homey. . Ya never know homey might meet some hoes homey. . Ya need to pump your brakes and drive slow homey. . Drive slow homey. "
"Late Registration","My Way Home",". . . . Yeah. . I'm on my way home. . They say home is where the hate is. . My dome is where fate is. . I stroll where souls get lost like vegas. . Seen through the eyes of rebel glasses. . Pray to god that my arms reach the masses. . The young smoke grass in grassless jungles. . Rubberband together in cashless bundles. . We wear struggling chains. . Divided only hustle remains. . Making sense of it we hustle for change. . Revolution ain't a game. . It's another name. . For life fighting. . Someone to stay in they corner like Mike Tyson. . Hypes fighting for hits to heighten they hell. . Don't he know he only get as high as he fell. . Show money becomes bail. . Relationships become jail. . Children are unheld. . I wish love was for sale. . Behold the pale. . Horse got me trapped like r. kel', I bail and it-. . Might not be such a bad idea if I never, never went home again. . I'm on my way home. . I left three days ago. . But no one seems to know I'm gone. . Home is where the hatred is. . Home is filled with pain and it. . Might not be such a bad idea if I never. . Never went home again.. "
"Late Registration","Crack Music",". . . . . That's that crack music nigga. That real black music nigga. La-la-la-la-la-la-la-la. La-la-la-la-la-la. That's that crack music nigga. That real black music nigga. La-la-la-la-la-la-la-la. La-la-la-la-la-la. How we stop the black panthers?. Ronald Reagan cooked up an answer. You hear that?. What Jill Scott was hearin. When our heroes and heroines got hooked on heroin.. Crack raised the murder rate in DC and Maryland. We invested in that it's like we got Merril-Lynched. And we been hangin from the same tree ever since. Sometimes I feel the music is the only medicine. So we cook it, cut it, measure it, bag it,sell it. The fiends cop it. Nowadays they cant tell if that's that good shit. We ain't sure man. Put the CD on your toungue yeah, thats pure man.. From the place where the fathers gone,. The mothers is hardly home. And the.... Gonna lock us up in ""Audy Home"". How the Mexicans say we just tryin to party homes. They wanna pack us all in a box like styrofoam. Who gave Saddam anthrax?. George Bush got the answers. Back in the hood it's a different type of chemical,. Am and Hammer baking soda. Raised they own quota. Writin when our soldiers ran for the stove cuz--. Cuz dreams of being 'Hova went from bein a brokeman ta bein a dopeman. Ta bein a president look theres hope man. This that inspiration for tha mos and tha folks man,. Shorty come and see if mama straight overdosin.. And this is the soundtrack,. This tha type of music you make when you round that--. Crack music nigga,. That real black music nigga.. That's that crack music nigga. That real black music nigga. La-la-la-la-la-la-la-la. La-la-la-la-la-la. God-how could you let this happen, happen, happen, happen, happen, happen?. La-la-la . That's that crack music, crack music. That real black music, black music. La-la-la-la-la-la-la-la. La-la-la-la-la-la. That's that crack music nigga. That real black music nigga. La-la-la-la-la-la-la-la. La-la-la-la-la-la. That's that crack music, crack music,that real black music, black music. Our father, give us this day our daily bread ...give us these days and take our daily bread,. See I done did all this ole bullshit. And to attone I throw a little somethin, somethin on the pulpit.. We took that shit, measured it and then cooked that shit. And what we gave back was crack music. And now we ooze it through they nooks and crannies. So our mammas aint got to be they cooks and nannies. And we gonna repo everything they ever took from granny. Now the former slaves trade hooks for Grammys. This dark diction has become America's addiction those who ain't even black use it.. "
